cnae,risco,codigo_louos,enquadramento1,perguntas,regras,condicionantes
1094-5/00,BAIXO RISCO,07.09.02,nR1-09,2|3,56|57,1|3|4|6
1094-5/00,BAIXO RISCO,07.12.13,nR1-12,2|3,56|57,1|30
1095-3/00,ALTO,09.02.24,ID3-02 (subgrupo 1),2|3,6|7,1|3|4|6|7|8|10
1095-3/00,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1095-3/00,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1096-1/00,ALTO,09.02.01,ID1-02,2|3,56|57,1|3|4|6|7|8|10
1096-1/00,ALTO,09.02.25,ID3-02 (subgrupo 1),2|3,56|57,1|3|4|6|7|8|10
1096-1/00,BAIXO RISCO,07.09.02,nR1-09,2|3,56|57,1|3|4|6
1096-1/00,BAIXO RISCO,07.12.13,nR1-12,2|3,56|57,1|30
1099-6/01,ALTO,09.02.05,ID1-02,11,5,1|3|4|6|7|8|10
1099-6/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1099-6/02,ALTO,09.02.33,ID3-02 (subgrupo 1),11,46,1|3|4|6|7|8|10
1099-6/02,ALTO,07.12.13,nR1-12,11,46,1|30
1099-6/03,ALTO,09.02.06,ID1-02,11,49,1|3|4|6|7|8|10
1099-6/03,ALTO,07.12.13,nR1-12,11,49,1|30
1099-6/04,ALTO,09.02.07,ID1-02,2|3,58|59,1|3|4|6|7|8|10
1099-6/04,MÉDIO RISCO,07.09.02,nR1-09,2|3,58|59,1|3|4|6
1099-6/04,BAIXO RISCO,07.12.13,nR1-12,2|3,58|59,1|30
1099-6/05,MÉDIO RISCO,09.02.27,ID3-02 (subgrupo 1),2|3,24|25,1|3|4|6|7|8|10
1099-6/05,MÉDIO RISCO,07.09.02,nR1-09,2|3,24|25,1|3|4|6
1099-6/05,MÉDIO RISCO,07.12.13,nR1-12,2|3,24|25,1|30
1099-6/06,ALTO,09.02.49,ID3-02 (subgrupo 2),11,46,1|3|4|6|7|8|10
1099-6/06,ALTO,07.12.13,nR1-12,11,46,1|30
1099-6/07,ALTO,09.02.10,ID1-02,11,47,1|3|4|6|7|8|10
1099-6/07,ALTO,07.09.02,nR1-09,11,47,1|3|4|6
1099-6/07,ALTO,07.12.13,nR1-12,11,47,1|30
1099-6/99,ALTO,09.02.10,ID1-02,11,47,1|3|4|6|7|8|10
1099-6/99,ALTO,09.02.12,ID3-02 (subgrupo 1),11,47,1|3|4|6|7|8|10
1099-6/99,ALTO,09.02.28,ID3-02 (subgrupo 1),11,47,1|3|4|6|7|8|10
1099-6/99,ALTO,09.02.29,ID3-02 (subgrupo 1),11,47,1|3|4|6|7|8|10
1099-6/99,ALTO,07.09.02,nR1-09,11,47,1|3|4|6
1099-6/99,ALTO,07.12.13,nR1-12,11,47,1|30
1111-9/01,ALTO,09.02.30,ID3-02 (subgrupo 1),2|3,6|7,1|3|4|6|7|8|10
1111-9/01,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1111-9/01,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1111-9/02,ALTO,09.02.30,ID3-02 (subgrupo 1),2|3,6|7,1|3|4|6|7|8|10
1111-9/02,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1111-9/02,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1112-7/00,ALTO,09.02.31,ID3-02 (subgrupo 1),2|3,6|7,1|3|4|6|7|8|10
1112-7/00,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1112-7/00,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1113-5/01,ALTO,09.02.32,ID3-02 (subgrupo 1),2|3,6|7,1|3|4|6|7|8|10
1113-5/01,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1113-5/01,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1113-5/02,ALTO,09.02.32,ID3-02 (subgrupo 1),2|3,6|7,1|3|4|6|7|8|10
1113-5/02,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1113-5/02,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1121-6/00,ALTO,09.02.08,ID1-02,11,47,1|3|4|6|7|8|10
1121-6/00,ALTO,07.09.02,nR1-09,11,47,1|3|4|6
1121-6/00,ALTO,07.12.13,nR1-12,11,47,1|30
1122-4/01,ALTO,09.02.33,ID3-02 (subgrupo 1),11,5,1|3|4|6|7|8|10
1122-4/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1122-4/02,ALTO,09.02.34,ID3-02 (subgrupo 1),2|3,6|7,1|3|4|6|7|8|10
1122-4/02,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1122-4/02,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1122-4/03,ALTO,09.02.34,ID3-02 (subgrupo 1),11,49,1|3|4|6|7|8|10
1122-4/03,ALTO,07.12.13,nR1-12,11,49,1|30
1122-4/04,ALTO,09.02.34,ID3-02 (subgrupo 1),11,49,1|3|4|6|7|8|10
1122-4/04,ALTO,07.12.13,nR1-12,11,49,1|30
1122-4/99,ALTO,09.02.01,ID1-02,11,47,1|3|4|6|7|8|10
1122-4/99,ALTO,09.02.34,ID3-02 (subgrupo 1),11,47,1|3|4|6|7|8|10
1122-4/99,ALTO,07.09.02,nR1-09,11,47,1|3|4|6
1122-4/99,ALTO,07.12.13,nR1-12,11,47,1|30
1210-7/00,ALTO,09.08.01,ID3-08,11,5,1|3|4|6|7|8|10
