cnae,grupo,subgrupo,area_min,area_max,observacao
1111-9/01,nR1,nR1-09,0,,07.09.02
1111-9/02,nR1,nR1-09,0,,07.09.02
1112-7/00,nR1,nR1-09,0,,07.09.02
1113-5/01,nR1,nR1-09,0,,07.09.02
1113-5/02,nR1,nR1-09,0,,07.09.02
1121-6/00,nR1,nR1-09,0,,07.09.02
1122-4/01,ID3,ID3-02,0,,09.02.33
1122-4/02,nR1,nR1-09,0,,07.09.02
1122-4/03,ID3,ID3-02,0,,09.02.34
1122-4/04,ID3,ID3-02,0,,09.02.34
1122-4/99,nR1,nR1-09,0,,07.09.02
1210-7/00,ID3,ID3-08,0,,09.08.01
1220-4/01,ID3,ID3-08,0,,09.08.01
1220-4/02,ID3,ID3-08,0,,09.08.01
1220-4/03,ID3,ID3-08,0,,09.08.01
1220-4/99,ID3,ID3-08,0,,09.08.02
1311-1/00,ID3,ID3-11,0,,09.11.16
1312-0/00,ID3,ID3-11,0,,09.11.16
1313-8/00,ID3,ID3-11,0,,09.11.17
1314-6/00,ID3,ID3-11,0,,09.11.15
1321-9/00,nR1,nR1-09,0,,07.09.05
1322-7/00,nR1,nR1-09,0,,07.09.05
1323-5/00,nR1,nR1-09,0,,07.09.05
1330-8/00,ID2,ID2-11,0,,09.11.08
1340-5/01,nR1,nR1-09,0,350,07.09.17
1340-5/01,nR2,nR2-09,350.01,,07.09.17
1340-5/02,nR2,nR2-09,0,,07.09.15
1340-5/99,nR1,nR1-09,0,350,07.09.17
1340-5/99,nR2,nR2-09,350.01,,07.09.17
1351-1/00,nR1,nR1-09,0,,07.09.05
1352-9/00,nR1,nR1-09,0,,07.09.05
1353-7/00,nR1,nR1-09,0,350,07.09.17
1353-7/00,nR2,nR2-09,350.01,,07.09.17
1354-5/00,nR1,nR1-09,0,,07.09.05
1359-6/00,nR1,nR1-09,0,,07.09.05
1411-8/01,nR1,nR1-09,0,,07.09.05
1411-8/02,nR1,nR1-09,0,,07.09.05
1412-6/01,nR1,nR1-09,0,,07.09.05
1412-6/02,nR1,nR1-09,0,,07.09.05
1412-6/03,nR1,nR1-09,0,,07.09.05
1413-4/01,nR1,nR1-09,0,,07.09.05
1413-4/02,nR1,nR1-09,0,,07.09.05
1413-4/03,nR1,nR1-09,0,,07.09.05
1414-2/00,nR1,nR1-09,0,,07.09.05
1421-5/00,nR1,nR1-09,0,,07.09.05
1422-3/00,nR1,nR1-09,0,,07.09.05
1510-6/00,ID3,ID3-05,0,,09.05.02
1521-1/00,nR1,nR1-09,0,350,07.09.17
1521-1/00,nR2,nR2-09,350.01,,07.09.17
1529-7/00,nR2,nR2-09,0,,07.09.09
1531-9/01,nR1,nR1-09,0,350,07.09.17
1531-9/01,nR2,nR2-09,350.01,,07.09.17
1531-9/02,nR1,nR1-09,0,,07.09.05
1532-7/00,ID2,ID2-05,0,,09.05.01
1533-5/00,nR1,nR1-09,0,350,07.09.17
1533-5/00,nR2,nR2-09,350.01,,07.09.17
1539-4/00,nR1,nR1-09,0,,07.09.05
1540-8/00,nR1,nR1-09,0,,07.09.05
