classe_via,grupo_uso,condicoes,base_legal
VP,nR2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-08,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-10,Não,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-12,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR3-08,Não,Lei nº 9.148/2016 — Quadro 11A
VL,nR3-08,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,nR3-08,Não,Lei nº 9.148/2016 — Quadro 11A
VC I,nR3-08,Não,Lei nº 9.148/2016 — Quadro 11A
VA II,nR3-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR3-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR3-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR3-14,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nR3-14,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nR3-14,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nR3-14,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nR3-14,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nR3-14,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nR3-14,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nR4-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nR4-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nR4-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nR4-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nR4-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nR4-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nR4-01,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nR4-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nR4-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nR4-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nR4-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nR4-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nR4-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nR4-02,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nR4-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nR4-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nR4-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nR4-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nR4-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nR4-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nR4-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nR4-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
